Month of Order Date,Year of Order Date,2 in one,Profit,Sales
November,2016,261.96,41.9136,261.96
November,2016,731.94,219.582,731.94
June,2016,14.62,6.8714,14.62
October,2015,957.5775,-383.031,957.5775
October,2015,22.368,2.5164,22.368
June,2014,48.86,14.1694,48.86
June,2014,7.28,1.9656,7.28
June,2014,907.152,90.7152,907.152
June,2014,18.504,5.7825,18.504
June,2014,114.9,34.47,114.9
June,2014,1706.184,85.309200000,1706.184
June,2014,911.424,68.3568,911.424
April,2017,15.552,5.4432,15.552
December,2016,407.976,132.5922,407.976
November,2015,68.81,-123.858,68.81
November,2015,2.544,-3.816,2.544
November,2014,665.88,13.3176,665.88
May,2014,55.5,9.990000000,55.5
August,2014,8.56,2.4824,8.56
August,2014,213.48,16.011,213.48
August,2014,22.72,7.384,22.72
December,2016,19.46,5.0596,19.46
December,2016,60.34,15.6884,60.34
July,2017,71.372,-1.0196,71.372
September,2015,1044.63,240.2649,1044.63
January,2016,11.648,4.2224,11.648
January,2016,90.57,11.7741,90.57
September,2015,3083.43,-1665.0522,3083.43
September,2015,9.618,-7.0532,9.618
September,2015,124.2,15.525,124.2
September,2015,3.264,1.1016,3.264
September,2015,86.304,9.709200000,86.304
September,2015,6.858,-5.715,6.858
September,2015,15.76,3.546,15.76
October,2017,29.472,9.9468,29.472
December,2016,1097.544,123.4737,1097.544
December,2016,190.92,-147.963,190.92
December,2015,113.328,35.415,113.328
December,2015,532.3992,-46.9764,532.3992
December,2015,212.058,-15.147,212.058
December,2015,371.168,41.7564,371.168
September,2017,147.168,16.5564,147.168
July,2016,77.88,3.894000000,77.88
September,2017,95.616,9.561600000,95.616
March,2016,45.98,19.7714,45.98
March,2016,17.46,8.2062,17.46
October,2014,211.96,8.478400000,211.96
June,2016,45,4.95,45
June,2016,21.8,6.104,21.8
April,2015,38.22,17.9634,38.22
April,2015,75.18,35.3346,75.18
April,2015,6.16,2.9568,6.16
April,2015,89.99,17.0981,89.99
December,2016,15.26,6.2566,15.26
December,2016,1029.95,298.6855,1029.95
June,2016,208.56,52.14,208.56
June,2016,32.4,15.552,32.4
June,2016,319.41,7.098000000,319.41
June,2016,14.56,6.9888,14.56
June,2016,30,3.3,30
June,2016,48.48,16.362,48.48
June,2016,1.68,0.84,1.68
November,2015,13.98,6.1512,13.98
November,2015,25.824,9.3612,25.824
November,2015,146.73,68.9631,146.73
November,2015,79.76,22.3328,79.76
April,2015,213.115,-15.2225,213.115
December,2014,1113.024,111.3024,1113.024
December,2014,167.968,62.988,167.968
June,2016,75.88,35.6636,75.88
September,2016,4.616,1.731,4.616
September,2017,19.05,8.763,19.05
April,2015,831.936,-114.3912,831.936
April,2015,97.04,1.213,97.04
April,2015,72.784,-18.196,72.784
December,2017,1.248,-1.9344,1.248
December,2017,9.708,-5.8248,9.708
December,2017,27.24,2.724,27.24
November,2014,19.3,-14.475,19.3
June,2016,208.16,56.2032,208.16
June,2016,16.74,8.0352,16.74
October,2014,14.9,4.172,14.9
October,2014,21.39,6.2031,21.39
September,2015,200.984,62.8075,200.984
November,2017,230.376,-48.9549,230.376
May,2017,301.96,33.2156,301.96
October,2017,19.99,6.7966,19.99
October,2017,6.16,2.9568,6.16
April,2016,158.368,13.8572,158.368
September,2016,20.1,6.633,20.1
September,2016,73.584,8.2782,73.584
September,2016,6.48,3.1104,6.48
January,2015,12.96,6.2208,12.96
January,2015,53.34,16.5354,53.34
January,2015,32.96,16.1504,32.96
November,2017,5.682,-3.788,5.682
November,2017,96.53,40.5426,96.53
June,2017,51.312,17.9592,51.312
September,2016,77.88,22.5852,77.88
August,2016,64.624,22.6184,64.624
August,2016,95.976,-10.7973,95.976
August,2016,1.788,-3.0396,1.788
December,2016,23.92,11.7208,23.92
November,2015,238.896,-26.8758,238.896
November,2015,102.36,-3.838500000,102.36
November,2015,36.882,-25.8174,36.882
November,2017,74.112,17.6016,74.112
November,2017,27.992,2.0994,27.992
November,2017,3.304,1.0738,3.304
October,2015,339.96,67.992,339.96
December,2017,41.96,10.9096,41.96
November,2016,75.96,22.788,75.96
November,2016,27.24,13.3476,27.24
August,2014,40.096,14.5348,40.096
August,2014,4.72,1.652,4.72
August,2014,23.976,7.4925,23.976
August,2014,130.464,44.0316,130.464
