Month of Order Date,Year of Order Date,2 in one,Sales
January,2017,43971.374,43971.374
February,2017,20301.1334,20301.1334
March,2017,58872.3528,58872.3528
April,2017,36521.5361,36521.5361
May,2017,44261.1102,44261.1102
June,2017,52981.7257,52981.7257
July,2017,45264.416,45264.416
August,2017,63120.888,63120.888
September,2017,87866.652,87866.652
October,2017,77776.9232,77776.9232
November,2017,118447.825,118447.825
December,2017,83829.318800000,83829.318800000
January,2016,18542.491,18542.491
February,2016,22978.815,22978.815
March,2016,51715.875,51715.875
April,2016,38750.039,38750.039
May,2016,56987.728,56987.728
June,2016,40344.534,40344.534
July,2016,39261.963,39261.963
August,2016,31115.3743,31115.3743
September,2016,73410.0249,73410.0249
October,2016,59687.745,59687.745
November,2016,79411.9658,79411.9658
December,2016,96999.043,96999.043
January,2015,18174.0756,18174.0756
February,2015,11951.411,11951.411
March,2015,38726.252,38726.252
April,2015,34195.2085,34195.2085
May,2015,30131.6865,30131.6865
June,2015,24797.292,24797.292
July,2015,28765.325,28765.325
August,2015,36898.3322,36898.3322
September,2015,64595.918,64595.918
October,2015,31404.9235,31404.9235
November,2015,75972.5635,75972.5635
December,2015,74919.5212,74919.5212
January,2014,14236.895,14236.895
February,2014,4519.892,4519.892
March,2014,55691.009,55691.009
April,2014,28295.345,28295.345
May,2014,23648.287,23648.287
June,2014,34595.1276,34595.1276
July,2014,33946.393,33946.393
August,2014,27909.4685,27909.4685
September,2014,81777.3508,81777.3508
October,2014,31453.393,31453.393
November,2014,78628.7167,78628.7167
December,2014,69545.6205,69545.6205
